date_of_night,count
 2015-04-01 00:00:00, 10
 2015-04-02 00:00:00, 14
 2015-04-03 00:00:00, 12
 2015-04-04 00:00:00, 13
 2015-04-05 00:00:00, 10
 2015-04-06 00:00:00, 18
 2015-04-07 00:00:00, 10
 2015-04-08 00:00:00, 17
 2015-04-09 00:00:00, 25
 2015-04-10 00:00:00, 16
 2015-04-11 00:00:00, 22
 2015-04-12 00:00:00, 33
 2015-04-13 00:00:00, 16
 2015-04-14 00:00:00, 17
 2015-04-15 00:00:00, 18
 2015-04-16 00:00:00, 16
 2015-04-17 00:00:00, 29
 2015-04-18 00:00:00, 18
 2015-04-19 00:00:00, 33
 2015-04-20 00:00:00, 29
 2015-04-21 00:00:00, 22
 2015-04-22 00:00:00, 39
 2015-04-23 00:00:00, 26
 2015-04-24 00:00:00, 45
 2015-04-25 00:00:00, 56
 2015-04-26 00:00:00, 50
 2015-04-27 00:00:00, 47
 2015-04-28 00:00:00, 49
 2015-04-29 00:00:00, 65
 2015-04-30 00:00:00, 63
 2015-05-01 00:00:00, 42
 2015-05-02 00:00:00, 45
 2015-05-03 00:00:00, 68
 2015-05-04 00:00:00, 48
 2015-05-05 00:00:00, 55
 2015-05-06 00:00:00, 73
 2015-05-07 00:00:00, 70
 2015-05-08 00:00:00, 78
 2015-05-09 00:00:00, 86
 2015-05-10 00:00:00,125
 2015-05-11 00:00:00,120
 2015-05-12 00:00:00,164
 2015-05-13 00:00:00,146
 2015-05-14 00:00:00,122
 2015-05-15 00:00:00,122
 2015-05-16 00:00:00,118
 2015-05-17 00:00:00,137
 2015-05-18 00:00:00,173
 2015-05-19 00:00:00,203
 2015-05-20 00:00:00,279
 2015-05-21 00:00:00,270
 2015-05-22 00:00:00,265
 2015-05-23 00:00:00,276
 2015-05-24 00:00:00,186
 2015-05-25 00:00:00,294
 2015-05-26 00:00:00,302
 2015-05-27 00:00:00,344
 2015-05-28 00:00:00,292
 2015-05-29 00:00:00,278
 2015-05-30 00:00:00,274
 2015-05-31 00:00:00,308
 2015-06-01 00:00:00,292
 2015-06-02 00:00:00,334
 2015-06-03 00:00:00,275
 2015-06-04 00:00:00,248
 2015-06-05 00:00:00,261
