date_of_night,count
 2015-04-01 00:00:00, 11
 2015-04-02 00:00:00, 32
 2015-04-03 00:00:00, 32
 2015-04-04 00:00:00, 25
 2015-04-05 00:00:00, 23
 2015-04-06 00:00:00, 20
 2015-04-07 00:00:00, 27
 2015-04-08 00:00:00, 25
 2015-04-09 00:00:00, 24
 2015-04-10 00:00:00, 34
 2015-04-11 00:00:00, 32
 2015-04-12 00:00:00, 39
 2015-04-13 00:00:00, 40
 2015-04-14 00:00:00, 37
 2015-04-15 00:00:00, 29
 2015-04-16 00:00:00, 57
 2015-04-17 00:00:00, 57
 2015-04-18 00:00:00, 54
 2015-04-19 00:00:00, 66
 2015-04-20 00:00:00, 61
 2015-04-21 00:00:00, 66
 2015-04-22 00:00:00, 65
 2015-04-23 00:00:00, 61
 2015-04-24 00:00:00, 97
 2015-04-25 00:00:00,107
 2015-04-26 00:00:00, 99
 2015-04-27 00:00:00, 90
 2015-04-28 00:00:00,104
 2015-04-29 00:00:00,115
 2015-04-30 00:00:00,128
 2015-05-01 00:00:00, 87
 2015-05-02 00:00:00, 84
 2015-05-03 00:00:00,107
 2015-05-04 00:00:00,100
 2015-05-05 00:00:00,104
 2015-05-06 00:00:00,139
 2015-05-07 00:00:00,169
 2015-05-08 00:00:00,197
 2015-05-09 00:00:00,197
 2015-05-10 00:00:00,235
 2015-05-11 00:00:00,303
 2015-05-12 00:00:00,361
 2015-05-13 00:00:00,349
 2015-05-14 00:00:00,296
 2015-05-15 00:00:00,247
 2015-05-16 00:00:00,237
 2015-05-17 00:00:00,278
 2015-05-18 00:00:00,396
 2015-05-19 00:00:00,560
 2015-05-20 00:00:00,801
 2015-05-21 00:00:00,801
 2015-05-22 00:00:00,668
 2015-05-23 00:00:00,601
 2015-05-24 00:00:00,550
 2015-05-25 00:00:00,833
 2015-05-26 00:00:00,848
 2015-05-27 00:00:00,833
 2015-05-28 00:00:00,823
 2015-05-29 00:00:00,739
 2015-05-30 00:00:00,702
 2015-05-31 00:00:00,880
 2015-06-01 00:00:00,780
 2015-06-02 00:00:00,700
 2015-06-03 00:00:00,684
 2015-06-04 00:00:00,580
 2015-06-05 00:00:00,586
 2015-06-06 00:00:00,516
 2015-06-07 00:00:00,649
 2015-06-08 00:00:00,680
 2015-06-09 00:00:00,678
 2015-06-10 00:00:00,613
