date_of_night,count
 2015-04-01 00:00:00,369
 2015-04-02 00:00:00,406
 2015-04-03 00:00:00,449
 2015-04-04 00:00:00,463
 2015-04-05 00:00:00,468
 2015-04-06 00:00:00,483
 2015-04-07 00:00:00,480
 2015-04-08 00:00:00,498
 2015-04-09 00:00:00,517
 2015-04-10 00:00:00,539
 2015-04-11 00:00:00,581
 2015-04-12 00:00:00,591
 2015-04-13 00:00:00,613
 2015-04-14 00:00:00,645
 2015-04-15 00:00:00,654
 2015-04-16 00:00:00,711
 2015-04-17 00:00:00,821
 2015-04-18 00:00:00,844
 2015-04-19 00:00:00,865
 2015-04-20 00:00:00,877
 2015-04-21 00:00:00,883
 2015-04-22 00:00:00,884
 2015-04-23 00:00:00,897
 2015-04-24 00:00:00,1015
 2015-04-25 00:00:00,1265
 2015-04-26 00:00:00,1363
 2015-04-27 00:00:00,1427
 2015-04-28 00:00:00,1406
 2015-04-29 00:00:00,1463
 2015-04-30 00:00:00,1475
 2015-05-01 00:00:00,1485
 2015-05-02 00:00:00,1479
 2015-05-03 00:00:00,1263
 2015-05-04 00:00:00,1563
 2015-05-05 00:00:00,1651
 2015-05-06 00:00:00,1855
 2015-05-07 00:00:00,2235
 2015-05-08 00:00:00,2759
 2015-05-09 00:00:00,2975
 2015-05-10 00:00:00,3119
 2015-05-11 00:00:00,3648
 2015-05-12 00:00:00,4263
 2015-05-13 00:00:00,4471
 2015-05-14 00:00:00,4564
 2015-05-15 00:00:00,4607
 2015-05-16 00:00:00,4691
 2015-05-17 00:00:00,4733
 2015-05-18 00:00:00,5558
 2015-05-19 00:00:00,6057
 2015-05-20 00:00:00,6871
 2015-05-21 00:00:00,8393
 2015-05-22 00:00:00,8950
 2015-05-23 00:00:00,9122
 2015-05-24 00:00:00,9198
 2015-05-25 00:00:00,9565
 2015-05-26 00:00:00,9887
 2015-05-27 00:00:00,10175
 2015-05-28 00:00:00,10464
 2015-05-29 00:00:00,10599
 2015-05-30 00:00:00,10639
 2015-05-31 00:00:00,10736
 2015-06-01 00:00:00,10863
 2015-06-02 00:00:00,10937
 2015-06-03 00:00:00,10960
 2015-06-04 00:00:00,11005
 2015-06-05 00:00:00,11012
 2015-06-06 00:00:00,10967
 2015-06-07 00:00:00,10995
 2015-06-08 00:00:00,11068
 2015-06-09 00:00:00,11078
 2015-06-10 00:00:00,11095
 2015-06-11 00:00:00,11104
 2015-06-12 00:00:00,11019
 2015-06-13 00:00:00,10924
 2015-06-14 00:00:00,10978
 2015-06-15 00:00:00,11046
 2015-06-16 00:00:00,11057
 2015-06-17 00:00:00,11068
 2015-06-18 00:00:00,11019
 2015-06-19 00:00:00,10954
 2015-06-20 00:00:00,10874
 2015-06-21 00:00:00,10954
 2015-06-22 00:00:00,11034
 2015-06-23 00:00:00,10975
 2015-06-24 00:00:00,10997
 2015-06-25 00:00:00,11619
 2015-06-26 00:00:00,12392
 2015-06-27 00:00:00,13305
 2015-06-28 00:00:00,13566
 2015-06-29 00:00:00,14323
 2015-06-30 00:00:00,14722
 2015-07-01 00:00:00,15014
 2015-07-02 00:00:00,15239
 2015-07-03 00:00:00,15409
 2015-07-04 00:00:00,15456
 2015-07-05 00:00:00,15596
 2015-07-06 00:00:00,15861
 2015-07-07 00:00:00,16032
 2015-07-08 00:00:00,16123
 2015-07-09 00:00:00,16170
 2015-07-10 00:00:00,16223
 2015-07-11 00:00:00,16185
 2015-07-12 00:00:00,16182
 2015-07-13 00:00:00,16279
 2015-07-14 00:00:00,16318
 2015-07-15 00:00:00,16330
 2015-07-16 00:00:00,16358
 2015-07-17 00:00:00,16300
 2015-07-18 00:00:00,16203
 2015-07-19 00:00:00,16248
 2015-07-20 00:00:00,16524
 2015-07-21 00:00:00,16560
 2015-07-22 00:00:00,16577
 2015-07-23 00:00:00,16532
 2015-07-24 00:00:00,16520
 2015-07-25 00:00:00,16369
 2015-07-26 00:00:00,16420
 2015-07-27 00:00:00,16457
 2015-07-28 00:00:00,16457
 2015-07-29 00:00:00,16478
 2015-07-30 00:00:00,16419
 2015-07-31 00:00:00,16375
 2015-08-01 00:00:00,16318
 2015-08-02 00:00:00,16318
 2015-08-03 00:00:00,16411
 2015-08-04 00:00:00,16436
 2015-08-05 00:00:00,16423
 2015-08-06 00:00:00,16364
 2015-08-07 00:00:00,16369
 2015-08-08 00:00:00,16310
 2015-08-09 00:00:00,16358
 2015-08-10 00:00:00,16418
 2015-08-11 00:00:00,16435
 2015-08-12 00:00:00,16394
 2015-08-13 00:00:00,16407
 2015-08-14 00:00:00,16373
 2015-08-15 00:00:00,16280
 2015-08-16 00:00:00,16296
 2015-08-17 00:00:00,16357
 2015-08-18 00:00:00,16376
 2015-08-19 00:00:00,16364
 2015-08-20 00:00:00,16360
 2015-08-21 00:00:00,16338
 2015-08-22 00:00:00,16276
 2015-08-23 00:00:00,16336
 2015-08-24 00:00:00,16654
 2015-08-25 00:00:00,16793
 2015-08-26 00:00:00,16863
 2015-08-27 00:00:00,16931
 2015-08-28 00:00:00,16954
 2015-08-29 00:00:00,16928
 2015-08-30 00:00:00,16882
 2015-08-31 00:00:00,17035
 2015-09-01 00:00:00,17160
 2015-09-02 00:00:00,17243
 2015-09-03 00:00:00,17314
 2015-09-04 00:00:00,17315
 2015-09-05 00:00:00,17312
 2015-09-06 00:00:00,17295
 2015-09-07 00:00:00,17358
 2015-09-08 00:00:00,17474
 2015-09-09 00:00:00,17533
 2015-09-10 00:00:00,17546
 2015-09-11 00:00:00,17609
 2015-09-12 00:00:00,17596
 2015-09-13 00:00:00,17673
 2015-09-14 00:00:00,17843
 2015-09-15 00:00:00,17866
 2015-09-16 00:00:00,17937
 2015-09-17 00:00:00,18060
 2015-09-18 00:00:00,18086
 2015-09-19 00:00:00,18008
 2015-09-20 00:00:00,18085
 2015-09-21 00:00:00,17982
 2015-09-22 00:00:00,18023
 2015-09-23 00:00:00,17996
 2015-09-24 00:00:00,18013
 2015-09-25 00:00:00,18023
 2015-09-26 00:00:00,18012
 2015-09-27 00:00:00,18074
 2015-09-28 00:00:00,18198
 2015-09-29 00:00:00,18253
 2015-09-30 00:00:00,18261
 2015-10-01 00:00:00,17305
 2015-10-02 00:00:00,17099
 2015-10-03 00:00:00,17201
 2015-10-04 00:00:00,17278
