account_id,algorithm,version,created_date,target_date
15304,wupang,none,2015-04-23,2015-04-21
15304,wupang,none,2015-04-23,2015-04-22
15304,wupang,none,2015-04-28,2015-04-26
15304,wupang,none,2015-04-30,2015-04-27
15305,wupang,none,2015-04-23,2015-04-21
15305,wupang,none,2015-04-23,2015-04-22
15305,wupang,none,2015-04-26,2015-04-23
15305,wupang,none,2015-04-27,2015-04-25
15305,wupang,none,2015-04-29,2015-04-27
16262,wupang,none,2015-04-26,2015-04-25
16262,wupang,none,2015-04-27,2015-04-26
16262,wupang,none,2015-04-28,2015-04-27
15306,wupang,none,2015-04-22,2015-04-21
16263,wupang,none,2015-04-27,2015-04-25
16263,wupang,none,2015-04-28,2015-04-26
16263,wupang,none,2015-04-28,2015-04-27
16256,wupang,none,2015-04-27,2015-04-25
16256,wupang,none,2015-04-28,2015-04-26
16256,wupang,none,2015-04-29,2015-04-27
15780,hmm,none,2015-04-25,2015-04-23
15780,wupang,none,2015-04-26,2015-04-25
15780,hmm,none,2015-04-29,2015-04-26
15780,wupang,none,2015-04-28,2015-04-26
15780,hmm,none,2015-04-30,2015-04-27
15780,wupang,none,2015-04-28,2015-04-27
15296,wupang,none,2015-04-23,2015-04-21
15296,wupang,none,2015-04-24,2015-04-22
15296,wupang,none,2015-04-25,2015-04-23
15296,wupang,none,2015-04-25,2015-04-24
15296,wupang,none,2015-04-27,2015-04-25
15296,wupang,none,2015-04-28,2015-04-26
1092,hmm,none,2015-04-23,2015-04-21
1092,hmm,none,2015-04-23,2015-04-22
1092,wupang,none,2015-04-27,2015-04-25
1092,hmm,none,2015-04-29,2015-04-26
1092,hmm,none,2015-04-29,2015-04-27
15298,wupang,none,2015-04-23,2015-04-21
15298,wupang,none,2015-04-24,2015-04-22
15298,wupang,none,2015-04-24,2015-04-23
15298,wupang,none,2015-04-27,2015-04-25
15301,hmm,none,2015-04-22,2015-04-21
15301,wupang,none,2015-04-27,2015-04-21
15301,hmm,none,2015-04-24,2015-04-22
15301,wupang,none,2015-04-27,2015-04-22
15301,wupang,none,2015-04-27,2015-04-23
15301,hmm,none,2015-04-25,2015-04-24
15301,wupang,none,2015-04-26,2015-04-24
15301,wupang,none,2015-04-27,2015-04-25
15301,wupang,none,2015-04-27,2015-04-26
15301,hmm,none,2015-04-30,2015-04-27
15791,hmm,none,2015-04-28,2015-04-26
15791,wupang,none,2015-04-27,2015-04-26
15791,hmm,none,2015-04-28,2015-04-27
15791,wupang,none,2015-04-28,2015-04-27
15795,wupang,none,2015-04-26,2015-04-24
15795,wupang,none,2015-04-27,2015-04-25
15795,wupang,none,2015-04-28,2015-04-26
15795,wupang,none,2015-04-29,2015-04-27
15323,wupang,none,2015-04-22,2015-04-21
15323,wupang,none,2015-04-25,2015-04-23
15323,wupang,none,2015-04-25,2015-04-24
15323,wupang,none,2015-04-27,2015-04-25
15323,wupang,none,2015-04-29,2015-04-27
16279,wupang,none,2015-04-27,2015-04-25
16279,hmm,none,2015-05-02,2015-04-26
16279,wupang,none,2015-04-28,2015-04-26
16279,hmm,none,2015-05-01,2015-04-27
15322,hmm,none,2015-04-22,2015-04-21
15322,hmm,none,2015-04-25,2015-04-24
15322,wupang,none,2015-04-26,2015-04-25
15322,wupang,none,2015-04-28,2015-04-27
15313,wupang,none,2015-04-26,2015-04-24
15313,wupang,none,2015-04-26,2015-04-25
15313,wupang,none,2015-04-27,2015-04-26
15313,wupang,none,2015-04-28,2015-04-27
15312,hmm,none,2015-04-23,2015-04-21
15312,hmm,none,2015-04-24,2015-04-22
15312,hmm,none,2015-04-24,2015-04-23
15312,hmm,none,2015-04-26,2015-04-24
15312,wupang,none,2015-04-27,2015-04-25
16287,wupang,none,2015-04-26,2015-04-25
16287,wupang,none,2015-04-27,2015-04-26
16287,wupang,none,2015-04-29,2015-04-27
15806,wupang,none,2015-04-26,2015-04-24
15806,wupang,none,2015-04-27,2015-04-25
15806,wupang,none,2015-04-28,2015-04-26
15806,wupang,none,2015-04-29,2015-04-27
15316,wupang,none,2015-04-22,2015-04-21
15316,wupang,none,2015-04-23,2015-04-22
15316,wupang,none,2015-04-25,2015-04-23
15316,hmm,none,2015-05-06,2015-04-26
15316,wupang,none,2015-04-28,2015-04-26
15316,hmm,none,2015-05-06,2015-04-27
15316,wupang,none,2015-04-28,2015-04-27
15337,wupang,none,2015-04-24,2015-04-21
15337,wupang,none,2015-04-24,2015-04-22
15337,wupang,none,2015-04-26,2015-04-25
15337,wupang,none,2015-04-28,2015-04-26
15748,wupang,none,2015-04-22,2015-04-21
15748,wupang,none,2015-04-23,2015-04-22
15748,wupang,none,2015-04-24,2015-04-23
15748,wupang,none,2015-04-28,2015-04-26
15748,wupang,none,2015-04-28,2015-04-27
16303,wupang,none,2015-04-27,2015-04-25
16303,wupang,none,2015-04-29,2015-04-26
16303,wupang,none,2015-04-29,2015-04-27
15355,wupang,none,2015-04-23,2015-04-21
15355,wupang,none,2015-04-23,2015-04-22
15355,wupang,none,2015-04-25,2015-04-23
15355,wupang,none,2015-04-26,2015-04-24
15355,wupang,none,2015-04-27,2015-04-25
15355,wupang,none,2015-04-28,2015-04-26
15355,wupang,none,2015-04-28,2015-04-27
15765,wupang,none,2015-04-24,2015-04-22
15765,wupang,none,2015-04-25,2015-04-23
15765,wupang,none,2015-04-27,2015-04-24
15765,wupang,none,2015-04-27,2015-04-25
15765,wupang,none,2015-04-28,2015-04-26
15765,wupang,none,2015-04-29,2015-04-27
16318,wupang,none,2015-04-29,2015-04-26
16318,wupang,none,2015-04-29,2015-04-27
1618,hmm,none,2015-05-04,2015-04-27
1622,hmm,none,2015-04-23,2015-04-21
1622,hmm,none,2015-04-24,2015-04-22
1622,hmm,none,2015-04-25,2015-04-23
1622,wupang,none,2015-04-26,2015-04-25
1622,wupang,none,2015-04-28,2015-04-26
1622,hmm,none,2015-04-29,2015-04-27
16312,hmm,none,2015-04-29,2015-04-26
16312,hmm,none,2015-04-29,2015-04-27
15244,wupang,none,2015-04-23,2015-04-21
15244,wupang,none,2015-04-23,2015-04-22
15244,wupang,none,2015-04-26,2015-04-24
15244,wupang,none,2015-04-28,2015-04-27
16322,wupang,none,2015-04-28,2015-04-26
16322,hmm,none,2015-05-03,2015-04-27
16322,wupang,none,2015-04-28,2015-04-27
15844,wupang,none,2015-04-27,2015-04-25
15844,wupang,none,2015-04-28,2015-04-26
15844,wupang,none,2015-04-28,2015-04-27
15845,wupang,none,2015-04-26,2015-04-24
15845,wupang,none,2015-04-27,2015-04-25
15845,wupang,none,2015-04-28,2015-04-26
15845,wupang,none,2015-04-28,2015-04-27
1581,wupang,none,2015-04-28,2015-04-21
1581,wupang,none,2015-04-28,2015-04-22
1581,wupang,none,2015-04-28,2015-04-23
1581,wupang,none,2015-04-26,2015-04-24
1581,wupang,none,2015-04-28,2015-04-25
1581,wupang,none,2015-04-28,2015-04-26
1038,hmm,none,2015-04-24,2015-04-21
1038,hmm,none,2015-05-06,2015-04-22
1038,hmm,none,2015-05-06,2015-04-23
1038,hmm,none,2015-05-06,2015-04-24
1038,hmm,none,2015-05-06,2015-04-25
16326,wupang,none,2015-04-28,2015-04-27
16327,wupang,none,2015-04-27,2015-04-26
16327,wupang,none,2015-04-29,2015-04-27
15841,hmm,none,2015-04-25,2015-04-24
15841,wupang,none,2015-04-28,2015-04-24
15841,hmm,none,2015-04-30,2015-04-26
15841,wupang,none,2015-04-28,2015-04-26
15841,hmm,none,2015-05-01,2015-04-27
15841,wupang,none,2015-04-28,2015-04-27
1574,wupang,none,2015-04-23,2015-04-21
15854,wupang,none,2015-04-27,2015-04-24
15854,wupang,none,2015-04-27,2015-04-25
15854,wupang,none,2015-04-29,2015-04-26
15854,wupang,none,2015-04-29,2015-04-27
15853,wupang,none,2015-04-26,2015-04-24
15853,wupang,none,2015-04-27,2015-04-25
15851,hmm,none,2015-04-25,2015-04-24
15851,wupang,none,2015-04-26,2015-04-24
15851,wupang,none,2015-04-27,2015-04-25
15851,hmm,none,2015-04-29,2015-04-26
15851,wupang,none,2015-04-28,2015-04-26
15851,hmm,none,2015-04-30,2015-04-27
15851,wupang,none,2015-04-28,2015-04-27
15848,wupang,none,2015-04-26,2015-04-24
15848,wupang,none,2015-04-27,2015-04-25
15848,wupang,none,2015-04-28,2015-04-26
15848,wupang,none,2015-04-28,2015-04-27
1595,wupang,none,2015-04-23,2015-04-21
1595,wupang,none,2015-04-24,2015-04-22
1595,wupang,none,2015-04-25,2015-04-24
1595,wupang,none,2015-04-27,2015-04-25
1595,wupang,none,2015-04-29,2015-04-26
1053,hmm,none,2015-04-22,2015-04-21
1053,hmm,none,2015-04-27,2015-04-22
1053,hmm,none,2015-04-27,2015-04-24
1053,hmm,none,2015-04-27,2015-04-25
1053,hmm,none,2015-04-29,2015-04-26
1053,hmm,none,2015-04-29,2015-04-27
16340,wupang,none,2015-04-28,2015-04-26
16340,hmm,none,2015-04-29,2015-04-27
16343,wupang,none,2015-04-29,2015-04-26
16343,hmm,none,2015-05-03,2015-04-27
16343,wupang,none,2015-04-29,2015-04-27
15259,wupang,none,2015-04-23,2015-04-21
15259,wupang,none,2015-04-24,2015-04-22
15259,wupang,none,2015-04-27,2015-04-25
15259,wupang,none,2015-05-02,2015-04-26
15259,wupang,none,2015-04-29,2015-04-27
15856,wupang,none,2015-04-26,2015-04-24
15856,wupang,none,2015-04-27,2015-04-25
15856,wupang,none,2015-04-28,2015-04-26
15856,wupang,none,2015-04-28,2015-04-27
15871,hmm,none,2015-04-26,2015-04-24
15871,wupang,none,2015-04-26,2015-04-24
15871,wupang,none,2015-04-27,2015-04-25
15871,wupang,none,2015-04-28,2015-04-26
15871,hmm,none,2015-04-29,2015-04-27
15871,wupang,none,2015-04-28,2015-04-27
15870,hmm,none,2015-04-25,2015-04-24
15870,wupang,none,2015-04-27,2015-04-24
15870,hmm,none,2015-05-01,2015-04-26
15870,wupang,none,2015-04-28,2015-04-26
15870,hmm,none,2015-05-01,2015-04-27
15870,wupang,none,2015-04-28,2015-04-27
15868,wupang,none,2015-04-27,2015-04-24
15868,wupang,none,2015-04-27,2015-04-25
15868,wupang,none,2015-04-29,2015-04-26
15868,wupang,none,2015-05-02,2015-04-27
1588,wupang,none,2015-04-23,2015-04-21
1588,wupang,none,2015-04-24,2015-04-22
1588,wupang,none,2015-04-25,2015-04-23
1588,wupang,none,2015-04-25,2015-04-24
1588,wupang,none,2015-04-27,2015-04-25
1588,wupang,none,2015-04-28,2015-04-26
1588,wupang,none,2015-04-28,2015-04-27
1584,wupang,none,2015-04-23,2015-04-21
1584,wupang,none,2015-04-29,2015-04-27
15864,wupang,none,2015-04-26,2015-04-24
15864,wupang,none,2015-04-27,2015-04-25
15864,wupang,none,2015-04-28,2015-04-26
16354,hmm,none,2015-05-01,2015-04-26
16354,wupang,none,2015-04-28,2015-04-26
16354,wupang,none,2015-04-29,2015-04-27
16355,wupang,none,2015-04-28,2015-04-26
16355,wupang,none,2015-04-28,2015-04-27
15276,wupang,none,2015-04-22,2015-04-21
15276,wupang,none,2015-04-23,2015-04-22
15276,wupang,none,2015-04-25,2015-04-24
15276,wupang,none,2015-04-27,2015-04-26
15276,wupang,none,2015-04-28,2015-04-27
16353,wupang,none,2015-04-28,2015-04-26
16353,wupang,none,2015-04-28,2015-04-27
15815,wupang,none,2015-04-27,2015-04-25
15815,wupang,none,2015-04-29,2015-04-27
1545,wupang,none,2015-04-23,2015-04-21
1545,wupang,none,2015-04-24,2015-04-22
1545,wupang,none,2015-04-25,2015-04-23
1545,wupang,none,2015-04-26,2015-04-24
1545,wupang,none,2015-04-27,2015-04-25
1545,wupang,none,2015-04-28,2015-04-26
1545,wupang,none,2015-04-29,2015-04-27
1068,hmm,none,2015-04-23,2015-04-21
1068,hmm,none,2015-04-25,2015-04-23
1068,hmm,none,2015-04-26,2015-04-24
16362,hmm,none,2015-04-29,2015-04-27
16362,wupang,none,2015-04-28,2015-04-27
15820,hmm,none,2015-04-26,2015-04-24
15820,wupang,none,2015-04-26,2015-04-24
15822,hmm,none,2015-04-25,2015-04-24
15822,wupang,none,2015-04-26,2015-04-24
15822,wupang,none,2015-04-28,2015-04-25
15822,hmm,none,2015-05-01,2015-04-26
15822,wupang,none,2015-04-28,2015-04-26
15822,hmm,none,2015-05-01,2015-04-27
15822,wupang,none,2015-04-28,2015-04-27
1063,wupang,none,2015-04-25,2015-04-22
1063,wupang,none,2015-04-25,2015-04-23
1063,wupang,none,2015-04-26,2015-04-24
1063,wupang,none,2015-04-27,2015-04-25
1063,wupang,none,2015-04-29,2015-04-26
1063,wupang,none,2015-04-29,2015-04-27
15819,wupang,none,2015-04-26,2015-04-24
15819,wupang,none,2015-04-27,2015-04-25
15819,wupang,none,2015-04-28,2015-04-26
15819,wupang,none,2015-04-29,2015-04-27
15265,wupang,none,2015-04-22,2015-04-21
15265,wupang,none,2015-04-24,2015-04-22
15265,wupang,none,2015-04-28,2015-04-25
15828,wupang,none,2015-04-26,2015-04-24
15828,wupang,none,2015-04-27,2015-04-25
15828,wupang,none,2015-04-27,2015-04-26
15828,wupang,none,2015-04-29,2015-04-27
15831,hmm,none,2015-04-26,2015-04-24
15831,wupang,none,2015-04-27,2015-04-25
15831,wupang,none,2015-04-28,2015-04-26
15831,hmm,none,2015-04-29,2015-04-27
15831,wupang,none,2015-04-28,2015-04-27
15837,wupang,none,2015-04-26,2015-04-24
15837,wupang,none,2015-04-27,2015-04-25
15837,wupang,none,2015-04-28,2015-04-26
15837,hmm,none,2015-05-01,2015-04-27
15837,wupang,none,2015-04-29,2015-04-27
15286,wupang,none,2015-04-23,2015-04-21
15286,wupang,none,2015-04-23,2015-04-22
15286,wupang,none,2015-04-25,2015-04-23
15286,wupang,none,2015-04-26,2015-04-24
15286,wupang,none,2015-04-27,2015-04-25
15286,wupang,none,2015-04-28,2015-04-26
15286,hmm,none,2015-05-01,2015-04-27
15286,wupang,none,2015-04-28,2015-04-27
1556,wupang,none,2015-04-23,2015-04-21
1556,wupang,none,2015-04-23,2015-04-22
1556,wupang,none,2015-04-29,2015-04-25
1556,wupang,none,2015-04-28,2015-04-26
1556,wupang,none,2015-04-29,2015-04-27
16378,hmm,none,2015-05-03,2015-04-26
16378,wupang,none,2015-04-28,2015-04-26
16378,wupang,none,2015-04-30,2015-04-27
15285,wupang,none,2015-04-24,2015-04-21
15285,wupang,none,2015-04-23,2015-04-22
15285,wupang,none,2015-04-24,2015-04-23
15285,wupang,none,2015-04-26,2015-04-24
15285,wupang,none,2015-04-27,2015-04-25
15285,wupang,none,2015-04-28,2015-04-26
15285,wupang,none,2015-04-28,2015-04-27
16376,wupang,none,2015-04-28,2015-04-26
16376,wupang,none,2015-04-28,2015-04-27
1072,hmm,none,2015-04-29,2015-04-26
1072,voting,none,2015-04-27,2015-04-26
1072,hmm,none,2015-04-29,2015-04-27
1761,wupang,none,2015-04-26,2015-04-25
1761,wupang,none,2015-04-28,2015-04-26
1761,wupang,none,2015-04-28,2015-04-27
1222,hmm,none,2015-04-25,2015-04-24
1222,wupang,none,2015-04-26,2015-04-24
1222,wupang,none,2015-04-26,2015-04-25
1222,hmm,none,2015-04-28,2015-04-26
1222,hmm,none,2015-04-28,2015-04-27
15662,hmm,none,2015-04-23,2015-04-21
15662,hmm,none,2015-04-25,2015-04-22
15662,hmm,none,2015-04-25,2015-04-23
15662,hmm,none,2015-04-25,2015-04-24
15662,wupang,none,2015-04-26,2015-04-24
15662,hmm,none,2015-05-06,2015-04-25
15662,wupang,none,2015-04-27,2015-04-25
15662,hmm,none,2015-05-06,2015-04-26
15662,wupang,none,2015-04-27,2015-04-26
15172,hmm,none,2015-04-23,2015-04-21
15172,hmm,none,2015-04-23,2015-04-22
1765,wupang,none,2015-04-23,2015-04-22
1765,wupang,none,2015-04-25,2015-04-23
1765,wupang,none,2015-04-25,2015-04-24
16139,wupang,none,2015-04-26,2015-04-25
16139,wupang,none,2015-04-29,2015-04-26
15651,hmm,none,2015-04-25,2015-04-21
15651,hmm,none,2015-04-25,2015-04-22
15651,hmm,none,2015-04-25,2015-04-23
15651,hmm,none,2015-04-25,2015-04-24
15651,wupang,none,2015-04-26,2015-04-24
15651,wupang,none,2015-04-27,2015-04-25
15651,wupang,none,2015-04-28,2015-04-26
15651,hmm,none,2015-04-29,2015-04-27
15651,wupang,none,2015-04-28,2015-04-27
1228,wupang,none,2015-04-23,2015-04-21
1228,wupang,none,2015-04-24,2015-04-22
1228,wupang,none,2015-04-27,2015-04-24
1228,wupang,none,2015-04-27,2015-04-25
1228,hmm,none,2015-05-04,2015-04-26
1228,wupang,none,2015-04-27,2015-04-26
1228,hmm,none,2015-05-04,2015-04-27
1228,wupang,none,2015-04-29,2015-04-27
15183,wupang,none,2015-04-23,2015-04-21
15183,wupang,none,2015-04-23,2015-04-22
15183,wupang,none,2015-04-25,2015-04-23
15183,wupang,none,2015-04-26,2015-04-24
15183,wupang,none,2015-04-27,2015-04-25
15183,wupang,none,2015-04-28,2015-04-26
15183,wupang,none,2015-04-28,2015-04-27
1776,wupang,none,2015-04-23,2015-04-21
1776,wupang,none,2015-04-23,2015-04-22
1776,wupang,none,2015-04-25,2015-04-23
1776,wupang,none,2015-04-26,2015-04-24
1776,wupang,none,2015-04-28,2015-04-25
1776,wupang,none,2015-04-28,2015-04-26
1776,wupang,none,2015-04-29,2015-04-27
16400,hmm,none,2015-04-29,2015-04-27
16400,wupang,none,2015-04-28,2015-04-27
16154,wupang,none,2015-04-26,2015-04-25
16154,wupang,none,2015-04-27,2015-04-26
16154,wupang,none,2015-04-28,2015-04-27
15677,wupang,none,2015-04-22,2015-04-21
15677,wupang,none,2015-04-23,2015-04-22
15677,wupang,none,2015-04-24,2015-04-23
15677,wupang,none,2015-04-28,2015-04-26
15677,wupang,none,2015-04-29,2015-04-27
16145,wupang,none,2015-04-26,2015-04-25
16145,wupang,none,2015-04-28,2015-04-26
16145,wupang,none,2015-04-27,2015-04-27
15668,wupang,none,2015-04-22,2015-04-21
15668,wupang,none,2015-04-23,2015-04-22
15668,wupang,none,2015-04-24,2015-04-23
15668,wupang,none,2015-04-26,2015-04-24
15668,wupang,none,2015-04-28,2015-04-26
15668,wupang,none,2015-04-29,2015-04-27
