date,event_type,account_id,algorithm,delta,version
2015-05-15,OUT_OF_BED,17335,hmm,99,none
2015-05-15,SLEEP,18620,wupang,-27,wupang_backup_for_hmm
2015-05-15,IN_BED,15897,wupang,157,wupang_backup_for_hmm
2015-05-15,SLEEP,15897,wupang,182,wupang_backup_for_hmm
2015-05-15,IN_BED,20238,wupang,281,wupang_backup_for_hmm
2015-05-15,IN_BED,18537,wupang,316,wupang_backup_for_hmm
2015-05-15,IN_BED,20149,wupang,152,wupang_backup_for_hmm
2015-05-15,SLEEP,19069,wupang,401,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,17471,hmm,10,none
2015-05-15,WAKE_UP,17471,hmm,33,none
2015-05-15,IN_BED,18787,wupang,444,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,18787,wupang,256,wupang_backup_for_hmm
2015-05-15,SLEEP,18787,wupang,420,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,17485,hmm,12,none
2015-05-15,WAKE_UP,17485,hmm,26,none
2015-05-15,WAKE_UP,19578,hmm,10,none
2015-05-15,OUT_OF_BED,19069,wupang,409,wupang_backup_for_hmm
2015-05-15,IN_BED,18641,hmm,54,none
2015-05-15,SLEEP,18620,wupang,213,wupang_backup_for_hmm
2015-05-15,SLEEP,18620,wupang,213,wupang_backup_for_hmm
2015-05-15,SLEEP,18620,wupang,33,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,17328,hmm,45,none
2015-05-15,OUT_OF_BED,18641,hmm,18,none
2015-05-15,WAKE_UP,17328,hmm,68,none
2015-05-15,SLEEP,17328,hmm,-14,none
2015-05-15,OUT_OF_BED,19859,hmm,12,none
2015-05-15,WAKE_UP,1455,hmm,30,none
2015-05-15,WAKE_UP,1455,hmm,30,none
2015-05-15,OUT_OF_BED,1455,hmm,28,none
2015-05-15,OUT_OF_BED,1455,hmm,28,none
2015-05-15,WAKE_UP,19380,hmm,32,none
2015-05-15,WAKE_UP,19380,hmm,32,none
2015-05-15,OUT_OF_BED,19380,hmm,5,none
2015-05-15,OUT_OF_BED,19380,hmm,5,none
2015-05-15,WAKE_UP,17401,hmm,89,none
2015-05-15,OUT_OF_BED,17401,hmm,88,none
2015-05-15,IN_BED,20174,wupang,225,wupang_backup_for_hmm
2015-05-15,SLEEP,20080,hmm,71,none
2015-05-15,IN_BED,19069,wupang,214,wupang_backup_for_hmm
2015-05-15,IN_BED,19785,hmm,83,none
2015-05-15,WAKE_UP,18627,hmm,27,none
2015-05-15,OUT_OF_BED,18627,hmm,17,none
2015-05-15,WAKE_UP,17464,hmm,117,none
2015-05-15,OUT_OF_BED,17464,hmm,80,none
2015-05-15,SLEEP,18627,hmm,-9,none
2015-05-15,WAKE_UP,18024,hmm,60,none
2015-05-15,OUT_OF_BED,17753,hmm,9,none
2015-05-15,WAKE_UP,17753,hmm,41,none
2015-05-15,SLEEP,18377,hmm,-32,none
2015-05-15,WAKE_UP,18377,hmm,38,none
2015-05-15,WAKE_UP,18377,hmm,24,none
2015-05-15,SLEEP,20112,wupang,193,wupang_backup_for_hmm
2015-05-15,WAKE_UP,17407,hmm,74,none
2015-05-15,OUT_OF_BED,17867,hmm,35,none
2015-05-15,WAKE_UP,15014,hmm,115,none
2015-05-15,OUT_OF_BED,17867,hmm,0,none
2015-05-15,WAKE_UP,20346,wupang,-8,wupang_backup_for_hmm
2015-05-15,WAKE_UP,18801,hmm,60,none
2015-05-15,WAKE_UP,19877,hmm,27,none
2015-05-15,OUT_OF_BED,17984,hmm,19,none
2015-05-15,OUT_OF_BED,19278,hmm,15,none
2015-05-15,WAKE_UP,19278,hmm,29,none
2015-05-15,WAKE_UP,18463,hmm,131,none
2015-05-15,WAKE_UP,17596,wupang,120,wupang_backup_for_hmm
2015-05-15,SLEEP,16990,wupang,89,wupang_backup_for_hmm
2015-05-15,IN_BED,17902,hmm,120,none
2015-05-15,SLEEP,17902,hmm,840,none
2015-05-15,SLEEP,16729,hmm,120,none
2015-05-15,IN_BED,16729,hmm,120,none
2015-05-15,WAKE_UP,19287,hmm,28,none
2015-05-15,IN_BED,17838,hmm,94,none
2015-05-15,OUT_OF_BED,1445,hmm,-18,none
2015-05-15,WAKE_UP,19444,hmm,30,none
2015-05-15,OUT_OF_BED,19444,hmm,13,none
2015-05-15,SLEEP,18776,wupang,960,wupang_backup_for_hmm
2015-05-15,IN_BED,16998,hmm,46,none
2015-05-15,SLEEP,16802,hmm,-8,none
2015-05-15,WAKE_UP,18576,hmm,20,none
2015-05-15,OUT_OF_BED,18859,hmm,85,none
2015-05-15,OUT_OF_BED,18576,hmm,15,none
2015-05-15,WAKE_UP,18859,hmm,64,none
2015-05-15,OUT_OF_BED,18840,hmm,38,none
2015-05-15,OUT_OF_BED,18938,hmm,16,none
2015-05-15,OUT_OF_BED,17580,hmm,93,none
2015-05-15,WAKE_UP,17580,hmm,79,none
2015-05-15,OUT_OF_BED,1395,hmm,91,none
2015-05-15,IN_BED,16610,hmm,166,none
2015-05-15,OUT_OF_BED,16877,hmm,11,none
2015-05-15,SLEEP,18707,hmm,86,none
2015-05-15,SLEEP,19452,hmm,0,none
2015-05-15,OUT_OF_BED,19544,wupang,360,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,16674,hmm,9,none
2015-05-15,WAKE_UP,18879,hmm,30,none
2015-05-15,IN_BED,18180,hmm,-10,none
2015-05-15,OUT_OF_BED,18180,hmm,-56,none
2015-05-15,OUT_OF_BED,19987,wupang,90,wupang_backup_for_hmm
2015-05-15,IN_BED,19987,wupang,60,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,18879,hmm,12,none
2015-05-15,OUT_OF_BED,20333,hmm,36,none
2015-05-15,WAKE_UP,20333,hmm,44,none
2015-05-15,IN_BED,16949,hmm,120,none
2015-05-15,OUT_OF_BED,19762,hmm,24,none
2015-05-15,OUT_OF_BED,19262,hmm,43,none
2015-05-15,IN_BED,18447,hmm,20,none
2015-05-15,IN_BED,18051,hmm,90,none
2015-05-15,OUT_OF_BED,17414,hmm,49,none
2015-05-15,WAKE_UP,18907,hmm,105,none
2015-05-15,OUT_OF_BED,18907,hmm,120,none
2015-05-15,OUT_OF_BED,19727,hmm,274,none
2015-05-15,WAKE_UP,19816,hmm,30,none
2015-05-15,WAKE_UP,19727,hmm,284,none
2015-05-15,WAKE_UP,15847,hmm,42,none
2015-05-15,OUT_OF_BED,18972,hmm,88,none
2015-05-15,IN_BED,19090,hmm,45,none
2015-05-15,OUT_OF_BED,19090,hmm,18,none
2015-05-15,SLEEP,19090,hmm,23,none
2015-05-15,OUT_OF_BED,16903,hmm,24,none
2015-05-15,WAKE_UP,16903,hmm,33,none
2015-05-15,OUT_OF_BED,16903,hmm,9,none
2015-05-15,WAKE_UP,1447,hmm,31,none
2015-05-15,SLEEP,19835,hmm,645,none
2015-05-15,WAKE_UP,18958,hmm,-37,none
2015-05-15,SLEEP,19152,hmm,-33,none
2015-05-15,OUT_OF_BED,18958,hmm,-31,none
2015-05-15,WAKE_UP,17388,hmm,-30,none
2015-05-15,WAKE_UP,20175,hmm,149,none
2015-05-15,OUT_OF_BED,19152,hmm,24,none
2015-05-15,WAKE_UP,19152,hmm,20,none
2015-05-15,IN_BED,18958,hmm,180,none
2015-05-15,IN_BED,18369,hmm,-140,none
2015-05-15,WAKE_UP,16965,wupang,19,wupang_backup_for_hmm
2015-05-15,SLEEP,18958,hmm,140,none
2015-05-15,SLEEP,18369,hmm,-120,none
2015-05-15,WAKE_UP,19242,hmm,36,none
2015-05-15,IN_BED,20014,hmm,247,none
2015-05-15,OUT_OF_BED,19877,hmm,94,none
2015-05-15,SLEEP,20014,hmm,243,none
2015-05-15,OUT_OF_BED,16221,hmm,109,none
2015-05-15,SLEEP,17130,hmm,148,none
2015-05-15,WAKE_UP,17012,hmm,30,none
2015-05-15,WAKE_UP,20014,hmm,32,none
2015-05-15,OUT_OF_BED,20014,hmm,17,none
2015-05-15,SLEEP,19770,hmm,-240,none
2015-05-15,WAKE_UP,16221,hmm,123,none
2015-05-15,WAKE_UP,19788,hmm,120,none
2015-05-15,IN_BED,17130,hmm,141,none
2015-05-15,OUT_OF_BED,17227,wupang,83,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,18090,hmm,-58,none
2015-05-15,OUT_OF_BED,19940,hmm,57,none
2015-05-15,WAKE_UP,18620,wupang,53,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,18620,wupang,18,wupang_backup_for_hmm
2015-05-15,IN_BED,18842,hmm,-221,none
2015-05-15,WAKE_UP,18842,hmm,32,none
2015-05-15,OUT_OF_BED,18620,wupang,18,wupang_backup_for_hmm
2015-05-15,OUT_OF_BED,20079,hmm,-116,none
2015-05-15,WAKE_UP,20079,hmm,45,none
2015-05-15,OUT_OF_BED,19242,hmm,27,none
2015-05-15,IN_BED,20248,hmm,12,none
2015-05-15,OUT_OF_BED,18842,hmm,11,none
2015-05-15,OUT_OF_BED,18842,hmm,10,none
2015-05-15,IN_BED,19464,hmm,47,none
2015-05-15,OUT_OF_BED,15024,hmm,60,none
2015-05-15,OUT_OF_BED,20248,hmm,26,none
2015-05-15,OUT_OF_BED,20248,hmm,-5,none
2015-05-15,WAKE_UP,20188,hmm,44,none
2015-05-15,WAKE_UP,1812,hmm,22,none
2015-05-15,OUT_OF_BED,20188,hmm,18,none
2015-05-15,IN_BED,17459,hmm,240,none
2015-05-15,SLEEP,17459,hmm,43,none
2015-05-15,OUT_OF_BED,17459,hmm,47,none
2015-05-15,IN_BED,15994,hmm,-161,none
2015-05-15,WAKE_UP,19522,hmm,120,none
2015-05-15,WAKE_UP,20248,hmm,-39,none
2015-05-15,WAKE_UP,19137,hmm,17,none
2015-05-15,SLEEP,15994,hmm,-164,none
2015-05-15,OUT_OF_BED,19333,hmm,141,none
2015-05-15,OUT_OF_BED,19253,hmm,21,none
2015-05-15,IN_BED,20136,hmm,171,none
2015-05-15,SLEEP,20248,hmm,21,none
2015-05-15,SLEEP,20136,hmm,148,none
2015-05-15,WAKE_UP,18675,hmm,109,none
2015-05-15,OUT_OF_BED,15249,hmm,26,none
2015-05-15,OUT_OF_BED,19170,hmm,120,none
2015-05-15,IN_BED,15892,hmm,60,none
2015-05-15,IN_BED,15892,hmm,60,none
2015-05-15,SLEEP,15892,hmm,58,none
2015-05-15,SLEEP,15892,hmm,58,none
2015-05-15,IN_BED,20125,hmm,86,none
2015-05-15,WAKE_UP,15892,hmm,56,none
2015-05-15,OUT_OF_BED,20124,hmm,104,none
2015-05-15,OUT_OF_BED,15357,hmm,28,none
2015-05-15,WAKE_UP,15357,hmm,68,none
2015-05-15,WAKE_UP,16726,hmm,-60,none
2015-05-15,OUT_OF_BED,16726,hmm,-60,none
2015-05-15,WAKE_UP,17116,hmm,24,none
2015-05-15,OUT_OF_BED,17116,hmm,14,none
2015-05-15,IN_BED,17161,hmm,65,none
2015-05-15,WAKE_UP,16086,hmm,92,none
2015-05-15,OUT_OF_BED,16086,hmm,69,none
2015-05-15,OUT_OF_BED,17658,hmm,35,none
2015-05-15,OUT_OF_BED,17658,hmm,35,none
2015-05-15,WAKE_UP,15464,hmm,31,none
2015-05-15,SLEEP,17161,hmm,90,none
2015-05-15,OUT_OF_BED,17161,hmm,8,none
2015-05-15,OUT_OF_BED,19548,hmm,51,none
2015-05-15,IN_BED,15073,hmm,60,none
2015-05-15,WAKE_UP,19548,hmm,50,none
2015-05-15,SLEEP,15073,hmm,60,none
2015-05-15,WAKE_UP,1762,hmm,-3,none
2015-05-15,WAKE_UP,15073,hmm,60,none
2015-05-15,OUT_OF_BED,15073,hmm,73,none
2015-05-15,OUT_OF_BED,1762,hmm,-27,none
2015-05-15,OUT_OF_BED,19652,hmm,24,none
2015-05-15,WAKE_UP,19149,hmm,-15,none
2015-05-15,IN_BED,16517,hmm,90,none
