account_id,algorithm,version,created_date,target_date
15304,hmm,none,2015-05-18,2015-05-17
15305,hmm,none,2015-05-16,2015-05-15
18452,hmm,none,2015-05-16,2015-05-15
18452,hmm,none,2015-05-17,2015-05-16
19544,hmm,none,2015-05-16,2015-05-15
19544,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
19544,hmm,none,2015-05-17,2015-05-16
19544,hmm,none,2015-05-18,2015-05-17
17600,hmm,none,2015-05-17,2015-05-16
19547,hmm,none,2015-05-17,2015-05-15
19547,hmm,none,2015-05-17,2015-05-16
19547,hmm,none,2015-05-18,2015-05-17
16262,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
16262,hmm,none,2015-05-17,2015-05-16
16262,hmm,none,2015-05-18,2015-05-17
17603,hmm,none,2015-05-17,2015-05-15
17603,hmm,none,2015-05-17,2015-05-16
16263,hmm,none,2015-05-16,2015-05-15
16263,hmm,none,2015-05-18,2015-05-17
16256,hmm,none,2015-05-18,2015-05-15
16256,hmm,none,2015-05-18,2015-05-16
16256,hmm,none,2015-05-18,2015-05-17
19550,hmm,none,2015-05-16,2015-05-15
19550,hmm,none,2015-05-17,2015-05-16
18450,hmm,none,2015-05-18,2015-05-16
15296,hmm,none,2015-05-16,2015-05-15
15296,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
15301,hmm,none,2015-05-18,2015-05-16
19542,hmm,none,2015-05-17,2015-05-16
19528,hmm,none,2015-05-16,2015-05-15
19528,hmm,none,2015-05-18,2015-05-17
18437,hmm,none,2015-05-17,2015-05-15
18437,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
18437,hmm,none,2015-05-18,2015-05-16
18437,hmm,none,2015-05-18,2015-05-17
16279,hmm,none,2015-05-16,2015-05-15
16279,hmm,none,2015-05-17,2015-05-16
15323,hmm,none,2015-05-16,2015-05-15
15323,hmm,none,2015-05-17,2015-05-16
15322,hmm,none,2015-05-18,2015-05-17
15313,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
15313,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
15313,hmm,none,2015-05-18,2015-05-17
16287,hmm,none,2015-05-17,2015-05-15
18447,hmm,none,2015-05-17,2015-05-15
18447,hmm,none,2015-05-18,2015-05-16
18447,hmm,none,2015-05-18,2015-05-17
19525,hmm,none,2015-05-17,2015-05-16
15316,hmm,none,2015-05-17,2015-05-15
15316,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
16530,hmm,none,2015-05-17,2015-05-15
16530,hmm,none,2015-05-17,2015-05-16
1135,hmm,none,2015-05-16,2015-05-15
1135,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
1132,hmm,none,2015-05-16,2015-05-15
1132,hmm,none,2015-05-18,2015-05-16
18483,hmm,none,2015-05-16,2015-05-15
18481,hmm,none,2015-05-17,2015-05-15
18481,hmm,none,2015-05-18,2015-05-16
18481,hmm,none,2015-05-18,2015-05-17
17637,hmm,none,2015-05-17,2015-05-15
17637,hmm,none,2015-05-18,2015-05-16
17637,hmm,none,2015-05-18,2015-05-17
17636,hmm,none,2015-05-16,2015-05-15
17636,hmm,none,2015-05-18,2015-05-16
17636,hmm,none,2015-05-18,2015-05-17
16550,hmm,none,2015-05-18,2015-05-17
16303,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-15
16303,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
16303,hmm,none,2015-05-18,2015-05-17
18490,hmm,none,2015-05-16,2015-05-15
18490,hmm,none,2015-05-17,2015-05-16
18490,hmm,none,2015-05-18,2015-05-17
18470,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
18470,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
18470,hmm,none,2015-05-18,2015-05-17
16574,hmm,none,2015-05-18,2015-05-15
16574,hmm,none,2015-05-18,2015-05-16
16574,hmm,none,2015-05-18,2015-05-17
19561,hmm,none,2015-05-18,2015-05-17
16567,hmm,none,2015-05-18,2015-05-15
16567,hmm,none,2015-05-18,2015-05-16
16567,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
16312,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
16312,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
17661,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
17661,hmm,none,2015-05-17,2015-05-16
1136,hmm,none,2015-05-16,2015-05-15
1136,hmm,none,2015-05-18,2015-05-16
1136,hmm,none,2015-05-18,2015-05-17
15244,hmm,none,2015-05-17,2015-05-16
15244,hmm,none,2015-05-18,2015-05-17
16322,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
16322,hmm,none,2015-05-17,2015-05-16
16322,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
16587,hmm,none,2015-05-16,2015-05-15
16587,hmm,none,2015-05-17,2015-05-16
18514,hmm,none,2015-05-17,2015-05-16
16589,hmm,none,2015-05-17,2015-05-15
16589,hmm,none,2015-05-17,2015-05-16
16589,hmm,none,2015-05-18,2015-05-17
1038,hmm,none,2015-05-17,2015-05-16
16326,hmm,none,2015-05-16,2015-05-15
16326,hmm,none,2015-05-17,2015-05-16
16590,hmm,none,2015-05-18,2015-05-17
17551,hmm,none,2015-05-17,2015-05-15
17551,hmm,none,2015-05-17,2015-05-16
17551,hmm,none,2015-05-18,2015-05-17
18525,hmm,none,2015-05-17,2015-05-15
18525,hmm,none,2015-05-18,2015-05-16
17545,hmm,none,2015-05-16,2015-05-15
17545,hmm,none,2015-05-17,2015-05-16
17558,hmm,none,2015-05-16,2015-05-15
17552,hmm,none,2015-05-18,2015-05-15
17552,hmm,none,2015-05-18,2015-05-17
1053,hmm,none,2015-05-18,2015-05-15
1053,hmm,none,2015-05-18,2015-05-16
1053,hmm,none,2015-05-18,2015-05-17
15259,hmm,none,2015-05-17,2015-05-15
15259,hmm,none,2015-05-17,2015-05-16
16607,hmm,none,2015-05-18,2015-05-15
16607,hmm,none,2015-05-17,2015-05-16
16592,hmm,none,2015-05-16,2015-05-15
16592,hmm,none,2015-05-17,2015-05-16
16592,hmm,none,2015-05-18,2015-05-17
19462,hmm,none,2015-05-17,2015-05-15
19462,hmm,none,2015-05-17,2015-05-16
19462,hmm,none,2015-05-18,2015-05-17
17566,hmm,none,2015-05-16,2015-05-15
16354,hmm,none,2015-05-18,2015-05-15
16354,hmm,none,2015-05-18,2015-05-16
16354,hmm,none,2015-05-18,2015-05-17
17575,hmm,none,2015-05-16,2015-05-15
17575,hmm,none,2015-05-18,2015-05-16
17575,hmm,none,2015-05-18,2015-05-17
18547,hmm,none,2015-05-18,2015-05-17
17574,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
17574,hmm,none,2015-05-18,2015-05-16
16355,hmm,none,2015-05-18,2015-05-15
16355,hmm,none,2015-05-18,2015-05-16
16355,hmm,none,2015-05-18,2015-05-17
19518,hmm,none,2015-05-17,2015-05-15
19518,hmm,none,2015-05-18,2015-05-16
19518,hmm,none,2015-05-18,2015-05-17
16353,hmm,none,2015-05-17,2015-05-16
17571,hmm,none,2015-05-16,2015-05-15
